DATE TIME;Fdw;Tdw;Ta;Pa;Thwi;Thwo
6/11/2018 00:00;0;14,8;15,2;471,8522;56,2;46,9
6/11/2018 00:01;15,03942;14,8;15,2;472,7154;56,6;45,7
6/11/2018 00:01;14,99743;14,8;15,2;469,076;56,6;45,5
6/11/2018 00:02;14,99588;14,8;15,1;486,5961;57;33,7
6/11/2018 00:03;14,99588;14,7;14,9;468,4462;57,5;31,6
6/11/2018 00:04;15,01765;14,7;14,8;467,1864;58;31
6/11/2018 00:04;15,07209;14,7;14,8;465,3668;58;31
6/11/2018 00:05;15,00054;14,7;14,7;480,1574;58,4;30,9
6/11/2018 00:06;14,98499;14,7;14,7;469,1694;58,4;31
6/11/2018 00:07;0;14,7;14,8;483,7734;58,7;33,1
6/11/2018 00:08;0;14,6;14,8;483,7734;59;40
6/11/2018 00:08;0;14,6;14,8;487,4127;59;40
6/11/2018 00:09;0;14,6;15,1;469,1461;59,3;42,7
6/11/2018 00:10;0;14,6;15,2;481,0672;59,6;46,3
6/11/2018 00:10;0;14,6;15,2;470,0326;59,6;46,4
6/11/2018 00:11;0;14,6;15,1;488,5092;59,7;48,4
6/11/2018 00:12;0;14,6;15,1;477,4278;59,5;49,1
6/11/2018 00:12;0;14,6;15,1;472,8087;59,5;49,1
6/11/2018 00:13;0;14,6;15,2;469,0994;59,3;49,4
6/11/2018 00:13;0;14,6;15,2;477,3812;59,3;49,4
6/11/2018 00:14;0;14,6;15,2;468,2129;59;49,4
6/11/2018 00:14;0;14,6;15,2;482,8635;59;49,4
6/11/2018 00:15;0;14,6;15;489,279;58,7;49,2
6/11/2018 00:15;0;14,6;15;481,977;58,6;49,1
6/11/2018 00:16;0;14,6;14,7;492,9883;58,5;48,9
6/11/2018 00:17;14,90256;14,6;14,4;476,4947;58,3;48,4
6/11/2018 00:17;14,90256;14,6;14,4;476,4947;58,3;48,4
6/11/2018 00:18;15,09075;14,5;14,2;469,0994;58,2;35,7
6/11/2018 00:19;15,0752;14,5;14,1;470,5458;58;32,4
6/11/2018 00:20;14,96166;14,5;14,1;470,8257;57,7;31,4
